Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1210_3225Metric,134.620000,-62.357000,270.000000,top
C2,100nF,C_0603_1608Metric,96.139000,-54.635500,90.000000,top
C3,6p8,C_0603_1608Metric,148.463000,-70.891500,270.000000,top
C4,6p8,C_0603_1608Metric,141.859000,-70.840500,90.000000,top
C5,1uF,C_0603_1608Metric,151.231500,-75.692000,180.000000,top
C6,100n,C_0603_1608Metric,155.321000,-57.632500,90.000000,top
C7,100n,C_0603_1608Metric,167.132000,-57.048500,90.000000,top
C8,100n,C_0603_1608Metric,173.482000,-57.150000,90.000000,top
C9,100n,C_0603_1608Metric,179.984500,-72.517000,0.000000,top
C10,100n,C_0603_1608Metric,171.894500,-85.242500,270.000000,top
C11,100n,C_0603_1608Metric,167.640000,-85.306000,270.000000,top
C12,100n,C_0603_1608Metric,162.052000,-85.318500,270.000000,top
C13,100n,C_0603_1608Metric,151.231500,-79.756000,180.000000,top
C14,100n,C_0603_1608Metric,151.104500,-70.231000,180.000000,top
C15,10uF,C_1210_3225Metric,181.740000,-65.151000,0.000000,top
C16,10nF,C_0603_1608Metric,176.911000,-59.156500,90.000000,top
C17,10uF,C_1210_3225Metric,169.799000,-56.258000,90.000000,top
C18,100n,C_0603_1608Metric,163.195000,-57.124500,270.000000,top
C19,100n,C_0603_1608Metric,177.800000,-82.067500,90.000000,top
C20,100n,C_0603_1608Metric,151.231500,-77.470000,0.000000,top
C21,2u2,C_1210_3225Metric,175.704500,-85.982000,90.000000,top
C22,1uF,C_1210_3225Metric,144.700800,-52.527200,0.000000,top
C23,3p3,C_0603_1608Metric,153.187400,-54.889400,270.000000,top
C24,3p3,C_0603_1608Metric,150.622000,-54.889500,270.000000,top
C25,100n,C_0603_1608Metric,161.252000,-98.552000,0.000000,top
C26,1uF,C_1210_3225Metric,181.229000,-79.502000,180.000000,top
C27,100n,C_0603_1608Metric,110.363000,-105.054500,270.000000,top
C28,100nF,C_0603_1608Metric,146.710500,-86.360000,0.000000,top
C29,10n,C_0603_1608Metric,112.268000,-105.054500,270.000000,top
C30,100nF,C_0603_1608Metric,142.900500,-74.168000,180.000000,top
C31,1uF,C_1210_3225Metric,136.909000,-85.471000,0.000000,top
C32,2u2,C_1210_3225Metric,86.410800,-72.006000,270.000000,top
C33,2u2,C_1210_3225Metric,86.360000,-82.997500,270.000000,top
C34,100nF,C_0603_1608Metric,140.081000,-80.899000,90.000000,top
C35,4u7,C_1210_3225Metric,115.316000,-105.794000,270.000000,top
C36,100n,C_0603_1608Metric,92.760800,-95.681900,90.000000,top
C37,1u,C_1210_3225Metric,96.977200,-97.964800,270.000000,top
C38,10n,C_0603_1608Metric,90.144500,-77.368400,180.000000,top
C39,10n,C_0603_1608Metric,89.509600,-87.756900,270.000000,top
C40,100n,C_0603_1608Metric,91.440000,-68.808500,270.000000,top
C41,100n,C_0603_1608Metric,91.503500,-81.889500,270.000000,top
C42,22uF,C_1210_3225Metric,108.356400,-74.806000,270.000000,top
C43,10n,C_0603_1608Metric,125.222000,-109.474000,270.000000,top
C44,47u,C_1210_3225Metric,109.626400,-87.042800,0.000000,top
C45,100nF,C_0603_1608Metric,150.241000,-61.874500,90.000000,top
C46,47u,C_1210_3225Metric,86.410800,-66.976800,90.000000,top
C47,4u7,C_1210_3225Metric,128.397000,-109.350000,270.000000,top
