Designator,Mid X,Mid Y,Rotation,Layer
C1,125.603000,-62.989000,270.000000,top
C2,111.734500,-65.151000,180.000000,top
C3,148.799999,-71.000000,270.000000,top
C4,143.000000,-71.000000,90.000000,top
C5,151.231500,-76.000000,180.000000,top
C6,155.321000,-57.632500,90.000000,top
C7,167.132000,-57.048500,90.000000,top
C8,173.482000,-57.150000,90.000000,top
C9,179.984500,-72.517000,0.000000,top
C10,171.894500,-85.242500,270.000000,top
C11,167.640000,-85.306000,270.000000,top
C12,162.052000,-84.787500,270.000000,top
C13,151.012500,-80.600000,180.000000,top
C14,152.100000,-70.400000,180.000000,top
C15,181.740000,-65.151000,0.000000,top
C16,176.911000,-59.156500,90.000000,top
C17,169.799000,-56.258000,90.000000,top
C18,163.195000,-57.124500,270.000000,top
C19,177.800000,-82.067500,90.000000,top
C21,175.704500,-85.982000,90.000000,top
C22,144.700800,-52.527200,0.000000,top
C23,153.187400,-54.889400,270.000000,top
C24,150.622000,-54.889500,270.000000,top
C25,161.252000,-98.552000,0.000000,top
C26,202.314000,-79.629000,0.000000,top
C27,110.363000,-108.330900,270.000000,top
C28,133.756500,-82.677000,180.000000,top
C29,112.318800,-108.330900,270.000000,top
C30,133.800000,-69.977000,180.000000,top
C31,143.761000,-86.233000,0.000000,top
C32,86.410800,-72.006000,270.000000,top
C33,86.360000,-82.997500,270.000000,top
C34,139.446000,-62.509500,90.000000,top
C35,115.112800,-109.039200,270.000000,top
C36,92.760800,-95.681900,90.000000,top
C37,96.977200,-97.964800,270.000000,top
C38,90.144500,-77.368400,180.000000,top
C39,89.509600,-87.756900,270.000000,top
C40,91.440000,-68.808500,270.000000,top
C41,91.503500,-81.889500,270.000000,top
C42,108.200000,-72.500000,270.000000,top
C43,126.492000,-107.467300,90.000000,top
C44,108.600000,-87.700000,270.000000,top
C45,146.900000,-60.600000,0.000000,top
C46,86.410800,-66.976800,90.000000,top
C47,129.336800,-109.039200,270.000000,top
C48,139.573000,-76.000000,90.000000,top
C49,86.360000,-77.975000,90.000000,top
C50,147.319900,-56.642000,0.000000,top
C51,106.045000,-61.874500,270.000000,top
C53,104.394000,-105.816500,270.000000,top
C54,83.185000,-102.362000,270.000000,top
C55,212.852000,-68.707000,90.000000,top
C56,202.146000,-61.849000,180.000000,top
C57,98.653600,-71.907300,270.000000,top
C58,98.691700,-84.747000,270.000000,top
C59,155.900000,-89.725000,270.000000,top
C60,101.687500,-57.500000,0.000000,top
C62,89.408000,-67.995700,90.000000,top
C63,89.509600,-80.467200,90.000000,top
C64,100.380800,-71.907300,270.000000,top
C65,100.482400,-84.759900,270.000000,top
D1,152.016000,-51.562000,0.000000,top
D2,102.879000,-92.964000,0.000000,top
D3,102.861000,-98.044000,0.000000,top
D4,122.564000,-102.565200,180.000000,top
D5,89.297000,-61.468000,0.000000,top
D6,96.198800,-67.614800,180.000000,top
D7,96.130000,-80.772000,180.000000,top
D8,96.600000,-52.450000,90.000000,top
F1,96.694800,-92.913200,0.000000,top
FB1,110.363000,-101.752500,90.000000,top
FB2,107.416500,-109.372400,0.000000,top
FB3,85.725000,-62.484000,0.000000,top
FB4,85.725000,-60.579000,0.000000,top
FB5,202.539500,-71.882000,180.000000,top
FB6,202.539500,-73.787000,180.000000,top
FB7,202.539700,-75.692000,180.000000,top
FB8,197.891500,-71.755000,180.000000,top
FB9,197.866000,-73.406000,180.000000,top
FB10,209.016500,-70.231000,0.000000,top
FB11,83.700000,-65.187500,90.000000,top
FB12,81.900000,-65.187500,90.000000,top
IC1,159.102000,-94.559000,180.000000,top
IC2,133.600000,-77.800000,90.000000,top
IC3,133.600000,-65.000000,90.000000,top
IC4,123.978900,-107.584000,180.000000,top
J3,192.063000,-82.645000,0.000000,top
J5,139.762000,-89.390000,0.000000,top
J8,183.729000,-51.623500,180.000000,top
Q1,86.611500,-88.281000,90.000000,top
R1,74.300000,-52.500000,270.000000,top
R2,105.562400,-74.294900,270.000000,top
R3,149.733000,-89.941500,270.000000,top
R4,152.019000,-89.916000,270.000000,top
R5,88.239500,-91.694000,0.000000,top
R6,111.785500,-61.849000,0.000000,top
R7,89.408000,-71.399300,270.000000,top
R8,89.408000,-74.752100,270.000000,top
R9,89.509600,-84.404100,270.000000,top
R10,125.098000,-110.591600,180.000000,top
R11,92.278100,-75.387200,0.000000,top
R12,92.354500,-88.265000,0.000000,top
R13,120.370500,-98.907600,0.000000,top
R14,99.390100,-76.403200,180.000000,top
R15,95.732500,-75.387200,180.000000,top
R16,105.384500,-86.207600,180.000000,top
R17,95.783500,-88.265000,180.000000,top
R18,95.377000,-63.017500,90.000000,top
R20,91.059000,-90.906500,90.000000,top
R21,99.390300,-74.523600,0.000000,top
R22,99.491900,-87.274400,0.000000,top
R23,111.785500,-63.500000,0.000000,top
R24,108.610500,-61.722000,0.000000,top
R25,108.610500,-60.071000,0.000000,top
R26,96.487500,-55.300000,180.000000,top
SW3,89.300000,-51.700000,0.000000,top
SW4,89.300000,-56.300000,0.000000,top
U1,165.295000,-71.125500,0.000000,top
U2,184.089000,-57.701000,90.000000,top
U3,102.600000,-53.565000,180.000000,top
U4,93.827600,-72.440800,0.000000,top
U5,93.916500,-85.471000,0.000000,top
U6,101.000000,-61.400000,180.000000,top
U7,200.342500,-66.230500,0.000000,top
U8,158.834000,-89.728000,180.000000,top
Y1,145.961000,-70.993000,180.000000,top
Y2,151.892000,-58.146000,180.000000,top
